iter	Passed	Remaining
0	4229	1053250
1	8277	1026408
2	11867	977099
3	15122	930056
4	18286	896019
5	21227	863262
6	24840	862307
7	27574	834141
8	30572	818667
9	34265	822376
10	37253	809424
11	40430	801862
12	43487	792808
13	47224	796076
14	50513	791374
15	54009	789882
16	57234	784444
17	59842	771307
18	62256	756909
19	64842	745684
20	67256	733414
21	69661	721944
22	72261	713192
23	74685	703292
24	77044	693397
25	79413	684178
26	81783	675469
27	84120	666953
28	86529	659414
29	89099	653394
30	91670	647608
31	94072	640870
32	96479	634426
33	98828	627849
34	101279	622147
35	103816	617128
36	106360	612292
37	108676	606299
38	111019	600642
39	111035	582937
40	113482	578482
41	115844	573705
42	118217	569095
43	120881	565944
44	123333	561852
45	125666	557305
46	128032	552991
47	130419	548848
48	132799	544747
49	135278	541115
50	137816	537753
51	140236	533977
52	142608	530074
53	144998	526289
54	147429	522705
55	149812	518994
56	152450	516190
57	154853	512617
58	157351	509391
59	159911	506385
60	162363	503061
61	164737	499526
62	167205	496307
63	169985	494020
64	172417	490726
65	174865	487505
66	177324	484334
67	179717	481009
68	182236	478039
69	184829	475275
70	187337	472302
71	189711	469008
72	192099	465775
73	194559	462736
74	196971	459600
75	199542	456846
76	202343	454615
77	204779	451564
78	207272	448654
79	209707	445628
80	212189	442715
81	214748	439972
82	217502	437624
83	219993	434748
84	222520	431951
85	225072	429207
86	227696	426603
87	230264	423895
88	232999	421492
89	235491	418651
90	238000	415847
91	240494	413022
92	243851	411663
93	247977	411537
94	251625	410546
95	255497	409860
96	259040	408589
97	263066	408021
98	268290	409210
99	271683	407524
100	274730	405295
101	277762	403027
102	281372	401570
103	284536	399445
104	288316	398150
105	291840	396462
106	295764	395274
107	300380	394944
108	304058	393323
109	310168	394760
110	316651	396527
111	320640	395075
112	324486	393403
113	331922	395977
114	337144	395777
115	340670	393532
116	344610	391736
117	348413	389750
118	351957	387448
119	355604	385238
120	358747	382466
121	363500	381377
122	367469	379419
123	370998	376982
124	374417	374417
125	378059	372058
126	381572	369554
127	385233	367175
128	388734	364626
129	392629	362427
130	395419	359198
131	398819	356520
132	402006	353644
133	404803	350426
134	408567	348039
135	411687	345091
136	414471	341863
137	417656	338967
138	421810	336841
139	425794	334552
140	429969	332387
141	433371	329606
142	436128	326333
143	439128	323247
144	441901	319997
145	444740	316801
146	447334	313438
147	449893	310061
148	452612	306804
149	455840	303893
150	458724	300753
151	461334	297439
152	464259	294334
153	467331	291323
154	470402	288311
155	474205	285739
156	477441	282815
157	480649	279871
158	484357	277210
159	487746	274357
160	491807	271868
161	496296	269593
162	499586	266650
163	503734	264153
164	507914	261652
165	511585	258874
166	515364	256139
167	518885	253265
168	523442	250880
169	526939	247971
170	530954	245294
171	534289	242293
172	537836	239384
173	541248	236407
174	544311	233276
175	546986	229982
176	550039	226852
177	553271	223795
178	556266	220642
179	559664	217647
180	562785	214542
181	566295	211583
182	569911	208656
183	572814	205466
184	576465	202542
185	579781	199494
186	583560	196600
187	587459	193736
188	590453	190569
189	594353	187690
190	597047	184428
191	599792	181187
192	602736	178010
193	605397	174753
194	606804	171149
195	609374	167888
196	610645	164285
197	613300	161068
198	616188	157917
199	618786	154696
200	621319	151465
201	623874	148247
202	625349	144785
203	628056	141620
204	631017	138516
205	633932	135402
206	636468	132213
207	638982	129025
208	641490	125842
209	644019	122670
210	646518	119498
211	649746	116464
212	652416	113330
213	654999	110186
214	657750	107075
215	660313	103938
216	662951	100817
217	665690	97716
218	667130	94433
219	669727	91326
220	672283	88218
221	674815	85111
222	677378	82014
223	678841	78794
224	680363	75595
225	683033	72534
226	685543	69460
227	688165	66401
228	690717	63340
229	693286	60285
230	696244	57266
231	698928	54227
232	700322	51096
233	703185	48081
234	706594	45101
235	709737	42103
236	712968	39107
237	714619	36031
238	716238	32964
239	717760	29906
240	719459	26867
241	722687	23890
242	724570	20872
243	726148	17856
244	727900	14855
245	729566	11862
246	731158	8880
247	732939	5910
248	735477	2953
249	737952	0
